[0;32mI (79022) app_main: t=1605354938 8142000[0m
[0;32mI (80022) app_main: t=1605354939 8142000[0m
RX 80945181 292 290 b 1
RX 80945441 260 260 b 0
RX 80945725 284 280 b 1
RX 80946997 1272 1270 a 0
RX 80947281 284 280 b 1
RX 80947585 304 300 b 0
RX 80947873 288 285 b 1
RX 80949144 1271 1270 a 0
RX 80949428 284 280 b 1
RX 80949687 259 255 b 0
RX 80949970 283 280 b 1
RX 80950225 255 255 b 0
RX 80950511 286 285 b 1
RX 80951788 1277 1275 a 0
RX 80952073 285 285 b 1
RX 80953333 1260 1260 a 0
RX 80953622 289 285 b 1
RX 80953878 256 255 b 0
RX 80954166 288 285 b 1
RX 80955435 1269 1265 a 0
RX 80955721 286 285 b 1
RX 80956028 307 305 b 0
RX 80956313 285 285 b 1
RX 80957582 1269 1265 a 0
RX 80957870 288 285 b 1
RX 80958123 253 250 b 0
RX 80958410 287 285 b 1
RX 80958666 256 255 b 0
RX 80958950 284 280 b 1
RX 80960226 1276 1275 a 0
RX 80960510 284 280 b 1
RX 80960765 255 255 b 0
RX 80961049 284 280 b 1
RX 80962321 1272 1270 a 0
RX 80962605 284 280 b 1
RX 80962859 254 250 b 0
RX 80963148 289 285 b 1
RX 80964474 1326 1325 a 0
RX 80964760 286 285 b 1
RX 80966027 1267 1265 a 0
RX 80966315 288 285 b 1
RX 80966567 252 250 b 0
RX 80966852 285 285 b 1
RX 80968124 1272 1270 a 0
RX 80968409 285 285 b 1
RX 80968664 255 255 b 0
RX 80968950 286 285 b 1
RX 80969205 255 255 b 0
RX 80969491 286 285 b 1
RX 80970764 1273 1270 a 0
RX 80971047 283 280 b 1
RX 80972315 1268 1265 a 0
RX 80972605 290 290 b 1
RX 80972838 233 230 b 0
RX 80973092 254 250 b 1
RX 80983560 10468 10465 S 0
Code S0b1s0b1a0b1b0b1a0b1b0b1b0b1a0b1b0b1a0b1a0b1b0b1a0b1b0b1a0b1b0b1b0b1a0b1a0b1b0b1a0b1b0b1a0b1b0b1b0b1a0b1a0b1b0b1b0b1a0b1a0b1b0b1a0b1b0b1a0b1b0b1a0b1b0b1a0b1b0b1a0b1b0b1a0b1b0b1b0b1a0b1a0b1b0b1a0b1b0b1a0b1b0b1b0b1a0b1b0b1a0b1b0b1a0b1a0b1b0b1a0b1b0b1b0b1a0b1a0b1b0b1 ok 0
RX 80983853 293 290 b 1
RX 80986537 2684 2680 s 0
RX 80986822 285 285 b 1
RX 80988095 1273 1270 a 0
RX 80988384 289 285 b 1
RX 80988631 247 245 b 0
RX 80988919 288 285 b 1
RX 80990191 1272 1270 a 0
RX 80990477 286 285 b 1
RX 80990732 255 255 b 0
RX 80991017 285 285 b 1
RX 80991263 246 245 b 0
RX 80991556 293 290 b 1
RX 80992827 1271 1270 a 0
RX 80993113 286 285 b 1
RX 80993377 264 260 b 0
RX 80993654 277 275 b 1
RX 80994978 1324 1320 a 0
RX 80995262 284 280 b 1
RX 80996531 1269 1265 a 0
RX 80996820 289 285 b 1
RX 80997071 251 250 b 0
RX 80997357 286 285 b 1
RX 80998631 1274 1270 a 0
RX 80998919 288 285 b 1
RX 80999171 252 250 b 0
RX 80999456 285 285 b 1
RX 81000726 1270 1270 a 0
RX 81001012 286 285 b 1
RX 81001266 254 250 b 0
