[0;32mI (19152) app_main: t=1605354878 138142000[0m
[0;32mI (20142) app_main: t=1605354879 128142000[0m
[0;32mI (21132) app_main: t=1605354880 118142000[0m
RX 21421467 293 290 b 1
RX 21421717 250 250 b 0
RX 21422010 293 290 b 1
RX 21423331 1321 1320 a 0
RX 21423624 293 290 b 1
RX 21424892 1268 1265 a 0
RX 21425184 292 290 b 1
RX 21425436 252 250 b 0
RX 21425730 294 290 b 1
RX 21425979 249 245 b 0
RX 21426271 292 290 b 1
RX 21427547 1276 1275 a 0
RX 21427836 289 285 b 1
RX 21429106 1270 1270 a 0
RX 21429397 291 290 b 1
RX 21429649 252 250 b 0
RX 21429938 289 285 b 1
RX 21431215 1277 1275 a 0
RX 21431506 291 290 b 1
RX 21431809 303 300 b 0
RX 21432101 292 290 b 1
RX 21433370 1269 1265 a 0
RX 21433662 292 290 b 1
RX 21433910 248 245 b 0
RX 21434205 295 295 b 1
RX 21435473 1268 1265 a 0
RX 21435764 291 290 b 1
RX 21436020 256 255 b 0
RX 21436313 293 290 b 1
RX 21437582 1269 1265 a 0
RX 21437872 290 290 b 1
RX 21438126 254 250 b 0
RX 21438417 291 290 b 1
RX 21439686 1269 1265 a 0
RX 21439976 290 290 b 1
RX 21440280 304 300 b 0
RX 21440574 294 290 b 1
RX 21441844 1270 1270 a 0
RX 21442133 289 285 b 1
RX 21442389 256 255 b 0
RX 21442679 290 290 b 1
RX 21442931 252 250 b 0
RX 21443222 291 290 b 1
RX 21444497 1275 1275 a 0
RX 21444788 291 290 b 1
RX 21446058 1270 1270 a 0
RX 21446348 290 290 b 1
RX 21446599 251 250 b 0
RX 21446891 292 290 b 1
RX 21448167 1276 1275 a 0
RX 21448457 290 290 b 1
RX 21448762 305 305 b 0
RX 21449052 290 290 b 1
RX 21450322 1270 1270 a 0
RX 21450611 289 285 b 1
RX 21450867 256 255 b 0
RX 21451157 290 290 b 1
RX 21451408 251 250 b 0
RX 21451701 293 290 b 1
